CELL_LINE_NAME,afatinib,as601245,as605240,at7519,az628,azd6482,azd7762,azd8055,bi2536,bms345541,bx912,cgp60474,cp466722,cp724714,crizotinib,cyclopamine,dasatinib,doxorubicin,entinostat,enzastaurin,erlotinib,gefitinib,gnf2,gsk1070916,gsk1904529a,gsk429286a,gw441756,gw843682x,hg511301,hg58801,imatinib,jnk9l,jw7241,kin001244,ku55933,lapatinib,lenalidomide,lfma13,linifanib,linsitinib,masitinib,mg132,mk2206,motesanib,nilotinib,npk76ii721,nu7441,nvptae684,olaparib,osi027,palbociclib,parthenolide,pazopanib,pd0325901,pd173074,pf562271,pha665752,pha793887,pi103,piperlongumine,plx4720,qlx138,qlxi92,qlxii47,qs11,quizartinib,ruxolitinib,saracatinib,sb216763,sb590885,selumetinib,serdemetan,sorafenib,tak715,tamoxifen,tanespimycin,temozolomide,tgx221,tivozanib,tozasertib,tpca1,tretinoin,veliparib,vinblastine,vorinostat,wh4023,wz3105,xav939,xmd1185h,xmd132,xmd1499,xmd1527,xmd885,xmd892,zg10,zm447439,zstk474
22RV1,,2.6255011081695563,2.834118175506592,1.3595202922821046,,,1.1488900899887085,0.8479415893554687,,2.759422492980957,2.8369330406188964,,2.286931562423706,4.233613681793213,,,,1.6187659025192258,,2.944137620925903,,1.384145450592041,,1.9553242921829224,2.384427213668823,4.970656681060791,2.7518888473510743,,1.5441101789474487,3.493006610870361,,0.8100715756416321,1.2590012788772582,3.268941354751587,4.238299083709717,,4.283815002441406,4.7688331604003915,2.5628100872039794,2.48102707862854,3.5465986728668213,,1.981548309326172,3.012162017822265,3.2234751701354982,2.7140480041503907,2.708391571044922,,,1.2392390489578249,2.249003529548645,,3.721815443038941,1.5811252355575562,2.9721948623657233,2.0508334398269654,,2.02923321723938,1.2983205318450928,1.8275068044662477,,1.2174499034881592,3.808960008621216,1.2214781045913696,3.6872474193573,2.32452654838562,4.234755229949951,,4.610119819641113,4.221314430236816,,3.356657886505127,,4.075582933425904,3.921587324142456,1.5337775945663452,5.679600238800049,,0.6967984318733216,,2.851783037185669,4.368923377990723,4.1654196739196765,3.7644750595092775,1.206704306602478,,1.2172709703445437,3.698369884490967,4.281610774993896,3.227229261398316,4.569496917724608,4.7841493606567385,,3.6469773769378655,1.5649566650390625,2.282658624649048,1.080156433582306
2313287,,1.9229119539260864,2.8742777347564696,1.3502311706542969,,,1.1156727433204652,0.8573073267936706,,2.872713565826416,2.992852973937988,,2.4188923835754395,4.127288436889648,,,,1.9449947118759157,,3.2639347076416017,,1.242323899269104,,2.1966270446777343,1.971953678131104,4.95285120010376,2.4277771949768066,,,,,0.8730855703353881,1.4558248281478885,3.153996467590332,3.88219313621521,,3.955245018005371,4.452718734741211,2.4183815956115717,2.061747598648071,3.627517032623291,,1.6652600049972537,2.609092235565185,2.878199291229248,2.9535161018371583,2.2678672313690185,,,1.455234742164612,1.7699769973754882,,3.3088957786560065,1.9052004098892208,2.7629876136779785,1.7776148319244385,,2.5656289100646967,1.4501229286193849,1.510697555541992,,1.4531128168106082,4.023659801483154,1.4191456079483031,3.091062307357788,2.2825069427490234,3.99966049194336,,,3.8119590282440186,,2.835087394714356,,3.991096639633178,3.6852566242218017,1.7696378707885745,5.512373733520508,,0.6891053557395935,,2.9971391201019286,3.988335609436035,3.911794424057007,4.143318605422974,1.2050915956497192,,1.33458149433136,3.3443636417388922,,3.4886807918548586,4.416475772857666,4.616426563262938,,,,2.1855486631393437,1.134619402885437
42MGBA,,2.02729721069336,3.938601016998291,1.7960103988647458,,,0.9429813027381896,0.7092483401298523,,3.599206256866455,3.028301858901977,,3.041932821273804,4.685196304321289,,,,1.7461977720260617,,4.14332537651062,,1.1453282833099363,,2.5074200868606566,1.9932183265686036,4.814815139770508,2.435906791687012,,,,,0.7428131818771362,1.608240580558777,3.4881544589996336,3.863734149932861,,3.89276294708252,4.634533405303955,2.293683242797852,2.307678699493408,3.8654099464416505,,1.405024170875549,2.461804246902466,2.5046342849731444,3.2964550971984865,1.8437999248504642,,,1.7897941827774049,1.8848183155059812,,2.5707253932952883,1.295579719543457,2.4221705913543703,1.7475235223770142,,3.1528720378875734,1.6740171432495117,1.2719919443130494,,1.7181962728500366,3.891929531097412,1.6260961294174194,3.2603208065032967,2.172008228302002,4.159260368347168,,4.370938777923584,3.8155759334564214,,2.470379590988159,,4.658548831939697,3.5935853481292725,1.3726365566253662,5.361272525787354,,0.6240716576576233,,3.4868162631988526,3.91690034866333,3.8409153938293463,4.342060565948486,1.1266458749771118,,1.155772042274475,3.208861207962036,,3.742441320419312,4.514908027648926,4.632877063751222,,,,2.10723295211792,1.3670262575149537
5637,,1.8527695655822756,2.533662509918213,1.120059108734131,,,1.0224047303199768,0.7252485275268554,,2.589479160308838,2.0832050800323487,,1.7986214876174926,4.147273921966553,,,,2.1332452535629267,,2.477259063720703,,1.1619662523269654,,1.720746850967407,2.030879592895508,4.33685073852539,2.4588179111480715,,,,,0.7515327930450441,1.0375677466392517,2.8105886936187745,3.6419590950012206,,3.680684471130371,4.259071445465088,2.329171752929688,2.015803551673889,2.954589366912842,,1.6633983135223391,2.577563190460205,2.7307137489318847,2.1287707090377808,2.1890971660614014,,,1.0631599426269531,1.4155605554580688,,3.08542799949646,1.8397031068801883,2.5137056827545172,1.4662065267562867,,1.5790504693984986,1.1424240112304689,1.4228916883468627,,1.0327582955360413,3.0193591594696043,1.0024298071861266,2.8595171928405763,2.024846839904785,3.8359339714050287,,4.104616165161134,3.3975078105926517,,2.515041732788086,,3.605992269515992,3.5098357677459715,1.822344422340393,5.074813652038574,,0.5801984965801239,,2.3687291145324707,3.64716830253601,3.661415672302246,4.929514598846437,1.038594651222229,,1.1871207237243653,3.0358973503112794,,2.704091739654541,3.9528154850006105,4.176126384735108,,,,1.6051436901092528,0.9745569348335266
639V,,1.569364333152771,3.476708030700684,1.5303197622299194,,,0.8883053183555603,0.6322071552276611,,3.390457201004028,2.8672375679016118,,2.8970478057861326,4.155157375335693,,,,2.3003604888916014,,3.88526668548584,,0.995141077041626,,2.010698986053467,1.711519980430603,4.549123096466063,2.376521730422973,,1.0945428967475892,3.0301184177398683,,0.6768831014633179,1.6402278184890746,3.3155643463134767,3.385470151901245,,3.4553610801696784,4.33384485244751,2.08860342502594,1.9202459096908568,3.77595534324646,,1.3713231325149535,2.4333717346191412,2.450394058227539,3.2292670249938964,1.6819586277008056,,,1.7481726408004759,1.317831492424011,,2.586346387863159,1.591439437866211,2.3228734970092773,1.2883612394332886,,2.884173440933228,1.7460175037384034,1.1236893773078918,,1.654875636100769,3.900607013702393,1.6046952962875367,2.673930025100708,1.928950047492981,3.756505489349365,,4.007574987411498,3.1502806663513185,,2.3388554573059084,,4.2164918899536135,3.274270677566528,1.3989742994308472,5.130968952178955,,0.5284025549888611,,3.427514362335205,3.4337430953979493,3.418217849731445,4.649488258361816,0.931932270526886,,1.205845820903778,2.9573429107666014,3.1314486503601078,3.680501699447632,4.232045078277588,4.327865886688232,,2.5616198062896727,1.0878531694412232,1.5480255126953124,1.2495059728622435
647V,,2.04186110496521,2.8032965183258063,1.222091698646545,,,1.0070960760116576,0.7697922825813294,,2.8910882472991943,2.9222409248352053,,2.47291111946106,4.228242921829224,,,,2.021816778182983,,2.952258920669556,,1.2190374851226806,,2.21054208278656,2.204391860961914,4.836962127685547,2.5575984477996827,,,,,0.8042060256004333,1.1960900068283078,3.1388235092163086,3.8434605598449703,,3.8816401004791268,4.402445220947267,2.499220609664917,2.3089430809020994,3.5297044277191163,,1.697688364982605,2.6181828498840334,2.886530494689941,2.8886054515838624,2.200878071784973,,,1.1153565526008606,1.7366403102874757,,2.9969426631927485,1.732655358314514,2.7607128143310553,1.8579591751098632,,2.3091755390167235,1.232527542114258,1.5129420042037964,,1.12125643491745,3.7122844696044917,1.1228797078132629,3.1730378150939935,2.4262619972229005,4.0098117828369135,,,3.7086599826812745,,2.604507732391357,,4.092488479614258,3.673619222640992,1.749898099899292,5.382858180999756,,0.6264277219772338,,2.8787583827972414,3.9260454654693597,3.827142429351807,4.561003971099853,1.124003040790558,,1.1355273604393006,3.2650390148162836,,3.273269605636597,4.458605098724365,4.585876274108887,,,,2.2518117427825928,1.0027484774589541
697,,1.2751949429512024,1.8135592699050904,1.735082244873047,1.2398168444633484,,1.5637559413909912,1.0292867779731751,3.2195012092590334,1.6365421772003177,1.166929006576538,3.238142204284668,1.406970739364624,2.8504573822021486,1.2322178125381469,2.956106424331665,1.5451115369796753,2.9161142826080324,1.0565479278564454,1.7535570859909058,1.5783633232116698,0.9809237122535706,1.5101958036422733,2.0045826435089107,1.4006210327148438,2.4375542640686034,1.8391576051712035,3.6098585605621336,,,1.8599349498748776,0.9547162890434264,1.2583313465118409,1.3253774642944336,2.2727123737335204,1.7701294660568236,2.272357702255249,3.642430448532104,1.6364881992340088,1.4762023210525512,1.3766912937164306,1.1497326254844666,1.2147254943847656,1.9099581718444825,1.6923863172531128,1.133166778087616,1.3838099122047425,1.0318366765975953,,1.7768512725830081,1.118305516242981,1.2662824869155884,2.0112544298172,1.43266441822052,1.4099680423736571,1.0897583842277527,1.6146027088165282,1.5174015045166016,1.7919727325439454,1.0788075804710389,,1.4331713914871216,1.193366861343384,1.327481460571289,1.3514532327651978,1.491953420639038,2.360187673568725,1.364317989349365,3.1128241062164306,1.8654496908187863,,1.727850866317749,1.4438606262207032,1.9517854452133176,2.2688198566436766,1.2406693696975708,4.062442684173584,2.6436072826385497,0.802169942855835,1.5966118812561034,1.1810393214225772,2.081525206565857,2.4597731590271,4.851901912689209,0.94131920337677,1.8054503440856933,1.7334229230880738,2.350454306602478,,1.289152717590332,2.006528258323669,2.4374686241149903,1.2137298941612245,,,1.0684853434562682,1.7019449472427368
769P,1.8335679054260252,1.5114374876022338,2.1248694896698,1.064844787120819,,,,,,2.382428789138794,2.190728211402893,,1.5958542585372926,3.924162769317627,,,,1.9915261507034299,,2.2460408687591547,,,,1.5656923294067382,1.7517497301101683,4.683065414428711,,,,,,0.7608035922050476,1.0720060229301454,2.7373263835906982,,,,4.280802154541016,2.017456603050232,1.6914982557296754,3.07662296295166,,,,,2.3602180004119875,,,3.1935927391052252,1.0976387262344358,,,2.4314427375793457,,,1.3451662063598633,,1.7467992067337037,1.1161474704742431,1.2859458446502685,3.516721773147583,1.078742742538452,3.318166255950928,1.0452696323394777,2.563134479522705,1.9730103015899656,3.6351305484771728,,,,1.5786621809005736,,,3.644985055923462,3.2687545299530028,,5.243192481994629,,0.590393853187561,,2.3245639324188234,,,,,,1.1622735857963562,2.54099760055542,,3.0391040325164798,4.295697498321533,4.438704776763916,,,,,0.9232892990112304
8305C,,1.9804701805114744,4.515250587463379,3.082032299041748,,,0.9272288918495178,0.6857613682746887,,4.390735530853272,4.103851938247681,,4.196210098266602,4.7036316871643065,,,,2.0203978061676025,,4.987131881713867,,1.0671260952949524,,3.5675927639007567,2.2300861358642576,5.259004688262938,2.7517993927001947,,1.3714191198349,3.350630521774292,,0.7350472688674927,2.9652342796325684,4.099958086013794,3.920865774154663,,3.9830159664154055,4.561671257019043,2.527455997467041,2.3471460342407227,4.674983024597168,,1.6390088319778442,2.7879870414733885,2.802196931838989,4.343777370452881,2.0982055187225344,,,3.386060047149658,1.44602370262146,,3.065077543258667,1.4778149127960205,2.676921844482422,1.7007079124450684,,4.623461723327637,3.105427885055542,1.2693872213363648,,3.1875399112701417,4.839610195159912,3.0741934299469,3.179008197784424,2.509449100494385,4.29681282043457,,4.322234153747559,3.5823265075683595,,2.6634473323822023,,4.977324390411377,3.8454230785369874,1.4551952362060547,5.486112689971924,,0.5974722862243652,,4.319886779785156,4.1003942489624015,3.932637453079224,4.457705020904541,1.129631221294403,,1.5521281242370606,3.3213569164276118,3.6600949764251713,4.631642818450928,4.922710037231445,4.955803298950197,,2.844734144210816,1.3416001319885251,2.213827896118164,2.261197018623352
8505C,,1.815380311012268,2.75715856552124,1.0982429742813111,,,1.0002037167549134,0.7037112355232239,,2.6925416469573973,2.1502769231796264,,2.1339179992675783,4.190204620361328,,,,2.633074998855591,,2.9008822441101074,,1.1507130861282349,,1.741185736656189,2.063483476638794,4.2987102508544925,2.594161891937256,,1.2024909496307372,3.1204183101654053,,0.7328590631484986,0.9882662177085876,2.816758394241333,3.5584850311279297,,3.6192116260528566,4.335374164581299,2.3645866394042967,2.1680119037628174,3.069950008392334,,1.6397117137908936,2.6331387996673583,2.717225742340088,2.4594838619232178,2.107714891433716,,,1.0964799165725707,1.34977068901062,,2.8316362380981444,2.065297985076904,2.569412612915039,1.475941181182861,,1.705053520202637,1.1040679812431335,1.3543509006500245,,1.0075343012809754,3.048197078704834,0.9764703154563904,2.7486314296722414,2.1506395816802977,3.890944242477417,,,3.2051300525665285,,2.5149467945098882,,3.7520699977874754,3.5057679176330567,1.7199444055557251,4.994735145568848,,0.5640114068984985,,2.6279187679290765,3.662432718276978,3.572762441635132,4.673365879058838,1.006841516494751,,1.1655341982841492,3.1895683765411382,3.3202383518218994,2.791023969650269,3.9043693065643312,4.2226643562316895,,2.744440031051636,1.2486925840377807,1.695432424545288,0.9507766723632812
