CELL_LINE_NAME,afatinib,as601245,as605240,at7519,az628,azd6482,azd7762,azd8055,bi2536,bms345541,bx912,cgp60474,cp466722,cp724714,crizotinib,cyclopamine,dasatinib,doxorubicin,entinostat,enzastaurin,erlotinib,gefitinib,gnf2,gsk1070916,gsk1904529a,gsk429286a,gw441756,gw843682x,hg511301,hg58801,imatinib,jnk9l,jw7241,kin001244,ku55933,lapatinib,lenalidomide,lfma13,linifanib,linsitinib,masitinib,mg132,mk2206,motesanib,nilotinib,npk76ii721,nu7441,nvptae684,olaparib,osi027,palbociclib,parthenolide,pazopanib,pd0325901,pd173074,pf562271,pha665752,pha793887,pi103,piperlongumine,plx4720,qlx138,qlxi92,qlxii47,qs11,quizartinib,ruxolitinib,saracatinib,sb216763,sb590885,selumetinib,serdemetan,sorafenib,tak715,tamoxifen,tanespimycin,temozolomide,tgx221,tivozanib,tozasertib,tpca1,tretinoin,veliparib,vinblastine,vorinostat,wh4023,wz3105,xav939,xmd1185h,xmd132,xmd1499,xmd1527,xmd885,xmd892,zg10,zm447439,zstk474
22RV1,,3.076926,2.910814,1.18794,,,0.980778,0.27769699999999997,,2.793294,4.751429,,2.202341,4.686031,,,,3.529872,,3.350918,,2.393686,,0.7043050000000001,3.0640389999999997,5.29937,1.325489,,1.681803,2.802841,,0.170897,1.849475,2.307776,5.199262,,4.489632,4.838733,2.4106419999999997,0.787118,4.51767,,1.8225639999999999,3.3670129999999996,3.684678,2.377087,3.5696449999999995,,,0.7218100000000001,0.066299,,4.109385,0.496404,3.622299,1.720998,,2.732196,1.032866,1.6569919999999998,,0.189617,4.36184,1.074092,2.475061,3.095062,4.8473239999999995,,5.3532980000000014,3.6792480000000003,,2.841095,,4.73618,3.6135839999999995,0.725133,6.356747,,0.060019,,3.9562519999999997,5.355876,4.801632,4.366928,1.186031,,0.644825,3.780404,3.258039,3.025585,4.229018,5.0455260000000015,,4.6733150000000006,2.27182,3.608541,0.573127
2313287,,1.895737,2.966629,0.775423,,,1.234984,0.564768,,3.406504,3.60724,,2.987317,4.9546660000000005,,,,3.9359879999999996,,4.8540480000000015,,2.020836,,3.56039,1.9046740000000002,5.568649,1.566154,,,,,0.571016,2.0749619999999998,2.1908369999999997,3.435761,,4.321497,4.261642,2.7331950000000003,2.463012,3.9983519999999997,,0.575418,1.795107,3.4071309999999997,2.588045,2.213964,,,0.573294,2.373278,,3.42694,1.2045190000000001,3.4071309999999997,1.4482959999999998,,1.714184,0.037597000000000005,1.628916,,1.099882,4.687079,3.1988659999999998,1.438377,2.40173,4.370179,,,4.320708,,2.495038,,3.778553,3.825654,2.273191,5.9962269999999975,,0.560092,,2.62065,4.8911440000000015,4.258985,4.56304,0.547463,,0.079842,3.4222099999999998,,3.446199,4.862623,5.0347349999999995,,,,3.300121,0.056696
42MGBA,,2.403705,4.319908,2.1495439999999997,,,1.256342,0.362969,,4.373857,1.9003709999999998,,3.5230379999999997,5.075197,,,,1.103775,,3.812182,,1.7641189999999998,,2.819741,1.609615,5.144481,3.4679830000000003,,,,,0.381198,2.073296,3.184756,3.979772,,3.6018550000000005,4.68093,1.8709490000000002,3.516926,4.46001,,1.047776,1.028525,1.508324,3.7132650000000003,1.5388110000000002,,,2.276626,3.28531,,0.316321,0.082887,1.7954900000000005,1.288146,,3.443022,0.9682559999999999,1.208624,,2.037033,3.8126559999999996,2.723637,5.0404349999999996,1.986951,4.316873999999999,,4.714233999999999,3.42069,,1.670605,,5.5515550000000005,4.036954,2.505018,4.917299,,1.181491,,3.322832,3.81701,3.7971760000000003,4.633045,1.887664,,0.59273,3.7376620000000003,,3.421625,5.081581,4.399737,,,,1.381135,2.2756
5637,,1.8193270000000001,1.664481,0.352531,,,1.384423,0.562457,,2.677628,0.285497,,1.800659,4.072458,,,,3.7991900000000003,,1.9337669999999998,,0.426105,,3.967749,2.303595,3.806028,2.877399,,,,,1.159551,1.595364,3.239925,3.195782,,3.8849169999999997,4.287307,1.6913650000000002,1.227645,3.1743930000000002,,1.9234220000000002,2.055259,2.979207,1.655169,2.22736,,,0.946391,3.563335,,3.647728,0.859874,2.952433,0.695287,,2.300971,1.45966,1.7334580000000002,,1.089184,2.697394,0.30147399999999996,1.2665520000000001,1.970675,3.9424089999999996,,2.824145,3.234041,,1.410364,,3.736986,3.2493830000000004,2.823652,5.008349,,0.228631,,2.3372349999999997,4.3805819999999995,3.8955029999999997,6.618734,1.030341,,1.2371020000000001,3.2458299999999998,,2.244887,4.142575,4.612325,,,,0.558174,0.23355
639V,,1.144728,3.9257980000000003,4.224752,,,0.638271,0.508314,,4.713748000000002,4.0830980000000014,,3.2503490000000004,3.9975379999999996,,,,3.974355,,4.889203,,0.16999,,3.062575,1.426498,4.738837999999999,0.640931,,1.608983,4.130972,,1.470483,2.1087279999999997,3.73538,1.911286,,2.442822,4.118881,1.6908470000000002,1.750091,4.694488,,1.043606,1.230787,2.468541,2.327016,0.191366,,,2.157455,1.897863,,3.7525769999999996,4.570181,0.816766,1.027039,,2.649198,1.570882,1.4322030000000001,,2.075382,4.451079,2.118696,0.278535,2.149468,3.777864,,3.182719,3.735189,,2.063512,,4.951944999999999,3.6218839999999997,1.513534,5.4692739999999995,,0.095211,,3.5795239999999997,4.4266239999999994,2.3578919999999997,5.374042,0.7128220000000001,,0.225642,3.677515,3.088299,4.071326999999998,4.3229169999999995,4.27456,,2.478469,1.441279,2.5299650000000002,3.178092
647V,,2.1248810000000002,2.776742,1.093864,,,0.769722,0.046499,,3.397538,3.489706,,2.076044,4.605109,,,,3.4482720000000002,,5.259346,,0.038112,,2.552439,2.2384150000000003,5.63135,2.938515,,,,,1.008118,1.9708580000000002,3.476665,2.922391,,4.222099,5.008331,2.521632,2.4986759999999997,5.2188419999999995,,2.417648,3.3262980000000004,3.328765,4.560575,1.639441,,,0.059151999999999996,4.021912,,2.67064,1.041305,2.856419,1.465452,,2.2854259999999997,2.234033,1.214502,,0.538034,4.420029,0.737262,2.981338,2.654039,3.12447,,,4.245056,,2.176845,,3.921289,3.272925,1.7785119999999999,3.812036,,0.160314,,2.689411,3.6039529999999997,4.018763,3.826083,1.6885720000000002,,0.085701,2.539482,,3.9644190000000004,4.930626,4.662257,,,,3.437579,0.594015
697,,1.272545,0.26334,2.202537,0.914581,,2.653639,2.377384,4.062057,0.7957489999999999,1.02367,3.904984,0.8656280000000001,3.360178,0.714665,2.822337,1.515878,3.905762,2.297562,0.9610270000000001,0.6933050000000001,1.001539,1.9430939999999999,5.789829,1.4604979999999999,2.7321590000000002,1.712739,4.570009,,,2.357744,0.8909090000000001,1.273383,0.9958440000000001,1.9528740000000002,2.222175,2.690691,3.539904,0.8418180000000001,1.4403110000000001,2.413448,1.703552,1.03659,1.9015099999999998,0.827786,0.774936,0.32800300000000004,0.84908,,2.394278,2.802892,0.590364,2.552582,0.691185,0.322581,0.710517,1.656932,2.859114,3.122304,0.46556899999999996,,1.361232,1.345688,0.6972430000000001,1.236513,0.45122399999999996,2.830839,1.335508,2.958617,2.401668,,1.45506,0.154406,1.604064,2.834459,0.22691599999999998,4.658498000000002,1.9452040000000002,0.813521,4.122218,0.9830409999999999,2.352728,3.10403,5.620091,0.887235,1.030046,2.7593099999999997,2.777466,,1.371129,1.7799610000000001,2.3361259999999997,0.5562229999999999,,,0.453995,2.445869
769P,0.18848299999999998,1.536206,0.749536,0.720708,,,,,,1.490687,3.157049,,1.877461,3.0897200000000002,,,,3.828957,,0.667737,,,,0.775173,2.2005529999999998,3.3756169999999996,,,,,,0.8376469999999999,0.8943190000000001,3.102627,,,,4.887188,2.035304,2.4411549999999997,2.001951,,,,,3.26346,,,2.196797,0.072051,,,3.568954,,,1.3513030000000001,,1.24475,0.7015819999999999,0.772459,4.232001,0.134015,2.79472,1.8443919999999998,1.4206969999999999,2.736158,3.5503449999999996,,,,1.435292,,,2.609489,3.0752580000000003,,5.9727239999999995,,0.050123,,2.646576,,,,,,1.010815,2.7611529999999997,,4.476249,3.1561619999999997,4.430943,,,,,0.076753
8305C,,1.732232,5.33533,2.331065,,,0.346058,0.359673,,5.1732949999999995,3.245273,,3.7811489999999996,5.3684449999999995,,,,2.490643,,6.268033,,2.212503,,3.377673,1.397241,6.039827,3.972754,,2.400754,2.989544,,0.722594,2.822438,4.544576,2.95566,,4.937924,5.372781,2.930866,1.562848,5.836597,,1.9773330000000002,3.638722,4.0761,4.63802,0.9423379999999999,,,3.297944,1.249235,,3.5757019999999997,2.6972490000000002,3.154958,0.044077,,5.501623,2.3052599999999996,1.631757,,2.9358,5.7047339999999975,3.4095489999999997,0.8317950000000001,3.027495,5.054136,,5.36045,1.96357,,3.480422,,6.075842,3.8053879999999998,0.45706800000000003,6.447737,,1.0434860000000001,,4.32041,5.401549,5.0094330000000005,5.367147,1.270492,,1.479384,4.8258480000000015,4.557296,5.060468,5.15496,5.726297,,3.030097,2.5118080000000003,3.2059580000000003,2.243935
8505C,,0.8215690000000001,2.5656529999999997,0.055016999999999996,,,1.119828,0.43704799999999994,,2.94768,1.812587,,2.878706,4.950481,,,,3.834169,,3.519074,,1.53162,,1.167218,1.507314,4.370471,2.467748,,1.1498190000000001,3.714152,,0.521816,1.456019,2.530852,3.460026,,4.245419999999998,4.081717,2.726226,2.318494,3.5529339999999996,,1.488472,1.887054,1.6552740000000001,3.460022,2.355958,,,0.5362020000000001,1.252063,,3.4398769999999996,2.5739970000000003,3.346143,1.216631,,1.8685779999999999,0.093329,1.078709,,0.649792,3.848781,1.2965659999999999,1.466021,2.448587,3.427429,,,3.934051,,1.927509,,4.524467,4.192512000000002,0.029862,5.893427,,0.318787,,3.114003,2.573509,3.6941010000000003,5.627619999999999,0.254296,,0.7875409999999999,4.192512000000002,3.859917,3.01839,4.9256980000000015,4.323123000000002,,2.538568,1.220265,1.5772190000000001,1.1181299999999998
